id,score,label
101,0.6626767516136169,2
102,0.7888931035995483,1
104,0.8678373694419861,0
109,0.9760451316833496,0
113,0.9996391534805298,0
118,0.9989457726478577,0
119,0.8879777789115906,2
123,0.9917769432067871,1
124,0.8702961802482605,0
126,0.5420215725898743,1
133,0.9999561309814453,0
136,0.9140015244483948,1
139,0.9952487349510193,0
143,0.7323150038719177,1
144,0.9532914161682129,1
145,0.9999455213546753,0
146,0.7825477123260498,0
147,0.9999635219573975,0
150,0.9995571970939636,2
151,0.9979283809661865,0
160,0.9999743700027466,0
165,0.6693791747093201,2
170,0.9999985694885254,0
171,0.9420249462127686,1
174,0.9999569654464722,0
175,0.7572802305221558,0
176,0.9993929862976074,0
177,0.9998824596405029,0
178,0.9990585446357727,0
182,0.7913535237312317,1
185,0.999881386756897,0
187,0.9289979338645935,1
194,0.9045524001121521,1
195,0.9116871953010559,0
198,0.999991774559021,0
202,0.9019185304641724,1
205,0.9999213218688965,0
207,0.9999980926513672,0
211,0.9696211814880371,0
214,0.8581777811050415,1
223,0.9801353812217712,0
224,0.9728876352310181,1
225,0.5293179154396057,1
