id,score,label
101,-1.110834002494812,0
102,-2.0249745845794678,0
104,-1.4004688262939453,0
109,-2.173182249069214,0
113,-1.8596183061599731,0
118,-1.4156004190444946,0
119,-1.3310422897338867,0
123,-1.8863334655761719,0
124,-2.4043772220611572,0
126,-2.0276944637298584,0
133,-1.5964468717575073,0
136,-1.1158325672149658,0
139,-1.9815673828125,0
143,-2.699836015701294,0
144,-1.1436996459960938,0
145,-1.3878165483474731,0
146,-1.431949257850647,0
147,-1.6436461210250854,0
150,-1.1496162414550781,0
151,-1.4821141958236694,0
160,-1.8880057334899902,0
165,-1.202681303024292,0
170,-2.078474283218384,0
171,-2.5188989639282227,0
174,-2.4459662437438965,0
175,-1.172705888748169,0
176,-2.067497730255127,0
177,-3.3904194831848145,0
178,-1.5923845767974854,0
182,-1.7917269468307495,0
185,-1.9657104015350342,0
187,-1.128666877746582,0
194,-1.1790388822555542,0
195,-1.4240376949310303,0
198,-2.422785520553589,0
202,-1.1733489036560059,0
205,-2.0851223468780518,0
207,-2.911397695541382,0
211,-1.9230345487594604,0
214,-2.593796968460083,0
223,-1.2797067165374756,0
224,-2.153876543045044,0
225,-1.562584400177002,0
111,-1.2092427015304565,1
116,-1.3697489500045776,1
122,-1.2285364866256714,1
135,-2.5661284923553467,1
140,-1.7690305709838867,1
149,-2.3721184730529785,1
161,-1.253277063369751,1
167,-1.3382134437561035,1
168,-1.673526406288147,1
169,-1.2565248012542725,1
173,-1.158118724822998,1
191,-1.2403510808944702,1
196,-1.511940598487854,1
201,-1.1916495561599731,1
206,-1.443318486213684,1
215,-1.8858370780944824,1
216,-1.4997544288635254,1
219,-2.290339231491089,1
226,-1.114159345626831,1
