id,score,label
101,-1.8994537591934204,0
102,-3.4963693618774414,0
104,-18.05070686340332,0
109,-11.094130516052246,0
113,-10.907644271850586,0
118,-17.621135711669922,0
119,-4.938538551330566,0
123,-1.5678832530975342,0
124,-16.634706497192383,0
126,-4.4525580406188965,0
133,-8.284823417663574,0
136,-2.081674814224243,0
139,-13.894505500793457,0
143,-2.0349364280700684,0
144,-4.136706829071045,0
145,-5.4580206871032715,0
146,-12.079317092895508,0
147,-5.659887313842773,0
150,-3.9565792083740234,0
151,-13.407511711120605,0
160,-6.946735858917236,0
165,-2.5327746868133545,0
170,-3.8818845748901367,0
171,-2.437884569168091,0
174,-7.835521697998047,0
175,-15.65857219696045,0
176,-7.49774169921875,0
177,-7.854405879974365,0
178,-7.534849643707275,0
182,-2.87555193901062,0
185,-11.221728324890137,0
187,-5.18325662612915,0
194,-1.9586961269378662,0
195,-10.488182067871094,0
198,-10.553231239318848,0
202,-2.453185558319092,0
205,-8.761529922485352,0
207,-7.283801078796387,0
211,-2.477626323699951,0
214,-3.2295126914978027,0
223,-5.2318620681762695,0
224,-1.3756952285766602,0
225,-4.213658332824707,0
111,-3.7109742164611816,1
116,-1.5259885787963867,1
122,-4.984719753265381,1
135,-4.4073076248168945,1
140,-3.132680654525757,1
149,-2.749962329864502,1
161,-3.550616502761841,1
167,-5.122066974639893,1
168,-2.7024922370910645,1
169,-1.3022146224975586,1
173,-2.88986873626709,1
191,-4.789902687072754,1
196,-3.6938893795013428,1
201,-13.980509757995605,1
206,-11.004690170288086,1
215,-9.929544448852539,1
216,-3.88557767868042,1
219,-4.059417247772217,1
226,-2.0674939155578613,1
